Source,Head,Head_Type,Relation,Tail,Tail_Type,Context
https://www.space.com/space-exploration/search-for-life,Brett Tingley,ORG,publish,Donald Trump,PERSON,By Brett Tingley published President Donald Trump has issued a statement that he will instruct the federal government to begin releasing all of its files related to UFOs.
https://www.nasa.gov/press-release/nasa-announces-new-partnerships-for-commercial-lunar-payload-delivery-services,NASA,ORG,issue In,October,DATE,"In October, NASA issued a call for potential lunar instruments and technologies to study the Moon, with proposals due in January."
https://www.nasa.gov/press-release/nasa-announces-new-partnerships-for-commercial-lunar-payload-delivery-services,Cheryl Warner,PERSON,stephen.e.cole@nasa.gov,Jenny Knotts Johnson Space Center,PERSON,"Cheryl Warner / Steve Cole Headquarters, Washington 202-358-1540 / 202-358-0918 cheryl.m.warner@nasa.gov/ stephen.e.cole@nasa.gov Jenny Knotts Johnson Space Center, Houston 281-483-5111 norma.j.knotts@nasa.gov"
https://www.space.com/artemis-program.html,NASA,ORG,launch,Artemis,ORG,"NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/artemis-program.html,NASA,ORG,launch on,November 16,DATE,"NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/artemis-program.html,Jim Bridenstine,PERSON,tell on,the day,DATE,"Jim Bridenstine, the space agency's administrator, told reporters on the day of the announcement that the name represents the program's goal of inclusion, referencing the fact that NASA intends to land the first woman on the moon under its current plans."
https://www.space.com/artemis-program.html,NASA,ORG,announce In,December 2020,DATE,"In December 2020, NASA announced the Artemis team of astronauts, which included nine women (Kayla Barron, Christina H. Koch, Nicole A. Mann, Anne McClain, Jessica Meir, Jasmin Moghbeli, Kate Rubins, Jessica Watkins and Stephanie Wilson) and nine men (Joseph Acaba, Raja Chari, Matthew Dominick, Victor Glover, Warren Hoburg, Jonny Kim, Kjell Lindgren, Frank Rubio and Scott Tingle)."
https://www.space.com/artemis-program.html,Reid Wiseman,PERSON,announce In,August 2022,DATE,"In August 2022, chief astronaut Reid Wiseman announced that all active NASA astronauts are eligible for Artemis missions, with crew selections to be determined at a later date."
https://www.space.com/artemis-program.html,NASA,ORG,launch,Artemis,ORG,"Artemis 1 NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/artemis-program.html,NASA,ORG,launch on,November 16,DATE,"Artemis 1 NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/space-exploration/missions/asteroid-comet-missions,Andrew Jones,PERSON,publish,ESA,ORG,Europe wants to land a tiny spacecraft on the infamous asteroid Apophis in 2029 By Andrew Jones published ESA is preparing a mission to study and land on asteroid Apophis during its close encounter with Earth in 2029.
https://www.space.com/space-exploration/missions/voyager,Mike Wall,PERSON,publish,Ed Stone,PERSON,"Ed Stone, who led NASA's iconic Voyager project for 50 years, dies at 88 By Mike Wall published Ed Stone, who for 50 years served as the project scientist for NASA's iconic Voyager mission, died June 9 at the age of 88."
https://www.space.com/space-exploration/missions/voyager,Ed Stone,PERSON,retire after,50 years,DATE,NASA's Voyager project scientist Ed Stone retires after 50 years By Mike Wall published Stone had been the only science chief in Voyager's long history.
https://www.space.com/space-exploration/missions/voyager,Mike Wall,PERSON,publish,Stone,ORG,NASA's Voyager project scientist Ed Stone retires after 50 years By Mike Wall published Stone had been the only science chief in Voyager's long history.
https://www.space.com/space-exploration/human-spaceflight/is-it-legal-to-own-buy-or-sell-apollo-mission-moon-rocks-and-lunar-samples,Jeff,PERSON,live in,Bend,GPE,"Jeff lives in beautiful Bend, Oregon amid the ponderosa pines, classic muscle cars, a crypt of collector horror comics, and two loyal English Setters."
https://www.space.com/artemis-1-orion-splashdown-moon-mission-success,Bill Nelson,PERSON,tell,Navias,PERSON,"""This is an extraordinary day,"" NASA Administrator Bill Nelson told Navias shortly after splashdown."
https://www.space.com/artemis-1-orion-splashdown-moon-mission-success,Mike Wall,PERSON,be,Grand Central Publishing,ORG,"Mike Wall is the author of ""Out There"" (Grand Central Publishing, 2018; illustrated by Karl Tate), a book about the search for alien life."
https://www.space.com/astronomy/moon/whats-the-point-of-a-space-station-around-the-moon,ISS,ORG,host In,quarter-century,DATE,"In its quarter-century of operation, the ISS has hosted more than 290 people from 26 countries, alongside its five international partners, including Russia."
https://www.space.com/astronomy/moon/whats-the-point-of-a-space-station-around-the-moon,ISS,ORG,play for,decades,DATE,"As such, Lunar Gateway could repeat the strategic, stabilizing role among different nations that the ISS has played for decades."
https://www.space.com/astronomy/moon/whats-the-point-of-a-space-station-around-the-moon,ESA,ORG,supply,the International Habitation Module,ORG,ESA is supplying the International Habitation Module (IHAB) alongside refuelling and communications systems.
https://www.space.com/stargazing/lunar-eclipses/the-total-lunar-eclipse-2026-dazzles-in-incredible-photos-from-around-the-world,Lauren DeCicca,PERSON,capture on,March 3,DATE,"Finally, Lauren DeCicca captured this gorgeous image of the uneclipsed lunar disk from Chiang Mai, Thailand on March 3."
https://www.space.com/stargazing/lunar-eclipses/the-total-lunar-eclipse-2026-dazzles-in-incredible-photos-from-around-the-world,Anthony Wood,PERSON,join,Space.com,ORG,"Anthony Wood joined Space.com in April 2025 after contributing articles to outlets including IGN, New Atlas and Gizmodo."
https://www.space.com/stargazing/lunar-eclipses/the-total-lunar-eclipse-2026-dazzles-in-incredible-photos-from-around-the-world,Anthony Wood,PERSON,join in,April 2025,DATE,"Anthony Wood joined Space.com in April 2025 after contributing articles to outlets including IGN, New Atlas and Gizmodo."
https://www.space.com/astronomy/solar-system/moon,1st moon astronauts,LOC,land in,Rimae Bode,PERSON,"China's 1st moon astronauts could land in Rimae Bode, a 'geological museum' on the lunar near side By Andrew Jones published A new study highlights the volcanic Rimae Bode region as a scientifically promising destination for China's first crewed moon landing mission, which the nation wants to achieve by 2030."
https://www.space.com/space-exploration/artemis/nasa-wants-to-accelerate-its-artemis-missions-to-the-moon-it-will-need-to-drop-some-big-hardware-to-do-it,NASA,ORG,plan For,Artemis 4,ORG,"For Artemis 4, NASA planned to upgrade to the SLS Block 1B, which features a design powerful enough to launch elements of the Gateway space station intended for lunar orbit."
https://www.space.com/space-exploration/artemis/nasa-wants-to-accelerate-its-artemis-missions-to-the-moon-it-will-need-to-drop-some-big-hardware-to-do-it,Congress,ORG,advance on,Wednesday (March 4,DATE,"Congress advanced a revised NASA authorization bill on Wednesday (March 4) that supports many of Isaacman's proposed changes to the Artemis program, but only requires he brief lawmakers on Gateway's status within a few months' of the bill's passing."
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,Earth,LOC,steal from,Venus,GPE,"These include the concept that the Earth captured the moon, that the moon fissioned out of the Earth or even that Earth may even have stolen the moon from Venus."
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,The United States,GPE,send in,the 1960s,DATE,The United States sent astronauts to the moon's orbit and surface in the 1960s and 1970s.
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,The Soviet Union,GPE,remain through,the 1960s,DATE,The Soviet Union remained active in robotic lunar exploration through the 1960s and 1970s.
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,Lunokhod 2,PERSON,set for,more than 40 years,DATE,"Lunokhod 2, which deployed in 1973, set an off-world distance driving record for more than 40 years, until NASA's long-running but now-defunct Mars Opportunity rover mission surpassed it in 2014 after several years of driving."
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,NASA,ORG,launch,Artemis,ORG,"NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,NASA,ORG,launch on,November 16,DATE,"NASA successfully launched Artemis 1 at 01:47 a.m. EST (0647 GMT) on November 16, from Launch Complex 39B at NASA's Kennedy Space Center in Florida."
https://www.space.com/55-earths-moon-formation-composition-and-orbit.html,Charles,PERSON,visit on,Earth,LOC,"Charles has visited every continent on Earth, drinking rancid yak butter tea in Lhasa, snorkeling with sea lions in the Galapagos and even climbing an iceberg in Antarctica."
https://www.space.com/capstone-moon-cubesat-mission,Tyvak Nano-Satellite Systems,ORG,build in,Irvine,GPE,"Tyvak Nano-Satellite Systems built the cubesat in Irvine, California, while Stellar Exploration, Inc. of San Luis Obispo, California, has provided the cubesat's propulsion system."
https://www.space.com/capstone-moon-cubesat-mission,NASA,ORG,report In,mid-March,DATE,"In mid-March, NASA reported that the launch of CAPSTONE had been delayed to ""no earlier than May 31"" adding that the launch period extends to June 22, 2022."
https://www.space.com/capstone-moon-cubesat-mission,Cubesat,ORG,move from,the Terran Orbital Corporation,ORG,"The Cubesat moved from the Terran Orbital Corporation in Irvine, California, to Rocket Lab Launch Complex 1 (LC-1) on the Mahia Peninsula of New Zealand on May 9, 2022, in preparation for its June launch."
https://www.space.com/capstone-moon-cubesat-mission,Cubesat,ORG,move to,Rocket Lab Launch Complex 1,ORG,"The Cubesat moved from the Terran Orbital Corporation in Irvine, California, to Rocket Lab Launch Complex 1 (LC-1) on the Mahia Peninsula of New Zealand on May 9, 2022, in preparation for its June launch."
https://www.space.com/capstone-moon-cubesat-mission,Cubesat,ORG,move on,"May 9, 2022",DATE,"The Cubesat moved from the Terran Orbital Corporation in Irvine, California, to Rocket Lab Launch Complex 1 (LC-1) on the Mahia Peninsula of New Zealand on May 9, 2022, in preparation for its June launch."
https://www.space.com/capstone-moon-cubesat-mission,CAPSTONE,ORG,explore for,six months,DATE,CAPSTONE will explore such an energy-efficient orbit for six months allowing scientists to assess its characteristics and requirements like power and propulsion that are needed to maintain it.
https://www.space.com/capstone-moon-cubesat-mission,SLS,ORG,do for,Artemis,ORG,"And just like the SLS will do for Artemis, one of the key missions for Saturn V was delivering astronauts to the moon as part of the Apollo missions."
https://www.space.com/space-exploration/missions/apollo,Jim Lovell,PERSON,die By,Mike Wall,PERSON,"Jim Lovell, commander of NASA's Apollo 13 moon mission, dies at 97 By Mike Wall published NASA astronaut Jim Lovell — a veteran of four spaceflights, including Apollo 8 and the near-disastrous Apollo 13 — passed away on Aug. 7, 2025 at the age of 97."
https://www.space.com/space-exploration/missions/apollo,Gene Kranz,PERSON,return for,"May 21, 2025",DATE,"NASA legend Gene Kranz returns to mission control Space photo of the day for May 21, 2025 By Robert Z. Pearlman published NASA flight director, Gene Kranz, now 91 years old, is seen posing with his lifetime achievement award from the American Astronautical Society at his restored console in Apollo mission control."
https://www.space.com/space-exploration/missions/apollo,Paul Van Hoeydonck,PERSON,die on,May 3,DATE,"Paul Van Hoeydonck died on May 3, at his home in Antwerp."
https://www.space.com/space-exploration/missions/apollo,John Lithgow,PERSON,launch By,Robert Z. Pearlman,PERSON,"John Lithgow to launch into life of Apollo 11 astronaut in new podcast 'BUZZ' By Robert Z. Pearlman published Having explored the 'third rock from the sun,' John Lithgow is heading for its moon."
https://www.space.com/space-exploration/missions/apollo,NASA,ORG,engineer,Ed Smylie,PERSON,"NASA engineer Ed Smylie, who led carbon dioxide fix on Apollo 13, dies at 95 By Robert Z. Pearlman published It was about one in the morning, four hours after an explosion tore through the Apollo 13 spacecraft, when Ed Smylie realized they had to do something about the carbon dioxide."
https://www.space.com/space-exploration/artemis/problem-pops-up-with-artemis-2-moon-rocket-this-will-almost-assuredly-impact-the-march-launch-window,NASA,ORG,confirm to,April,DATE,"Today, NASA confirmed a launch delay to April at the earliest as it prepares to roll the 322-foot-tall Artemis 2 rocket back into its hangar, the cavernous Vehicle Assembly Building, for repairs."
https://www.space.com/space-exploration/artemis/problem-pops-up-with-artemis-2-moon-rocket-this-will-almost-assuredly-impact-the-march-launch-window,NASA,ORG,confirm,Vehicle Assembly Building,ORG,"Today, NASA confirmed a launch delay to April at the earliest as it prepares to roll the 322-foot-tall Artemis 2 rocket back into its hangar, the cavernous Vehicle Assembly Building, for repairs."
https://www.space.com/nasa-artemis-1-moon-mission-launch,the Space Launch System,ORG,soar into,Florida,GPE,"With a mighty roar, the most powerful NASA rocket ever built — the Space Launch System (SLS) — soared into the Florida early morning sky on the Artemis 1 mission, a risky and long-delayed test flight to send a next-generation space capsule to the moon and back."
https://www.space.com/nasa-artemis-1-moon-mission-launch,Derrol Nail,PERSON,say during,the webcast of this morning's,DATE,NASA commentator Derrol Nail said during the webcast of this morning's launch.
https://www.space.com/nasa-artemis-1-moon-mission-launch,NASA,ORG,invite,Apollo,ORG,(NASA invited Apollo 10 commander Tom Stafford to today's launch.)
https://www.space.com/nasa-artemis-1-moon-mission-launch,NASA,ORG,invite,Tom Stafford,PERSON,(NASA invited Apollo 10 commander Tom Stafford to today's launch.)
https://www.space.com/nasa-artemis-1-moon-mission-launch,Nelson,PERSON,tell,Space.com,ORG,"""Our DNA, as an American people now joined by our international partners, is to explore,"" Nelson told Space.com of the Artemis program's goal."
https://www.nasa.gov/exploration/systems/sls/fs/sls.html,the Interim Cryogenic Propulsion Stage,ORG,send to,Moon,LOC,"After reaching space, the Interim Cryogenic Propulsion Stage (ICPS ) sends Orion on to the Moon."
https://www.nasa.gov/exploration/systems/sls/fs/sls.html,NASA,ORG,use With,EUS,ORG,"With the EUS, NASA can use a Block 1B crew configuration to send Orion, astronauts, and payloads to deep space or use a Block 1B cargo configuration to send large cargoes to the Moon, Mars, or more distant destinations."
https://www.nasa.gov/exploration/systems/sls/fs/sls.html,Boeing,ORG,build,EUS,ORG,Boeing is building the EUS at Michoud.
https://www.nasa.gov/exploration/systems/sls/fs/sls.html,The SLS Program,ORG,work with,the Orion Program,ORG,"The SLS Program, managed by Marshall, works closely with the Orion Program, managed by NASA’s Johnson Space Center, and the Exploration Ground Systems Program, managed at Kennedy."
